series_id,item_name,price_dec_2016
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm)",0.503
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm)",0.693
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm)",1.287
APU0000702111,"Bread, white, pan, per lb. (453.6 gm)",1.362
APU0000702212,"Bread, whole wheat, pan, per lb. (453.6 gm)",1.96
APU0000702421,"Cookies, chocolate chip, per lb. (453.6 gm)",3.409
APU0000703111,"Ground chuck, 100% beef, per lb. (453.6 gm)",3.619
APU0000703112,"Ground beef, 100% beef, per lb. (453.6 gm)",3.559
APU0000703113,"Ground beef, lean and extra lean, per lb. (453.6 gm)",5.542
APU0000703212,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",4.484
APU0000703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm)",5.104
APU0000703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm)",4.884
APU0000703432,"Beef for stew, boneless, per lb. (453.6 gm)",5.262
APU0000703511,"Steak, round, USDA Choice, boneless, per lb. (453.6 gm)",5.556
APU0000703512,"Steak, round, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm)",5.465
APU0000703613,"Steak, sirloin, USDA Choice, boneless, per lb. (453.6 gm)",7.91
APU0000704111,"Bacon, sliced, per lb. (453.6 gm)",5.102
APU0000704211,"Chops, center cut, bone-in, per lb. (453.6 gm)",3.633
APU0000704212,"Chops, boneless, per lb. (453.6 gm)",3.751
APU0000704312,"Ham, boneless, excluding canned, per lb. (453.6 gm)",3.93
APU0000705111,"Frankfurters, all meat or all beef, per lb. (453.6 gm)",3.048
APU0000705121,"Bologna, all beef or mixed, per lb. (453.6 gm)",2.625
APU0000706111,"Chicken, fresh, whole, per lb. (453.6 gm)",1.463
APU0000706212,"Chicken legs, bone-in, per lb. (453.6 gm)",1.432
APU0000706311,"Turkey, frozen, whole, per lb. (453.6 gm)",1.495
APU0000707111,"Tuna, light, chunk, per lb. (453.6 gm)",3.145
APU0000708111,"Eggs, grade A, large, per doz.",1.383
APU0000709112,"Milk, fresh, whole, fortified, per gal. (3.8 lit)",3.29
APU0000710211,"American processed cheese, per lb. (453.6 gm)",4.214
APU0000710212,"Cheddar cheese, natural, per lb. (453.6 gm)",4.895
APU0000710411,"Ice cream, prepackaged, bulk, regular, per 1/2 gal. (1.9 lit)",4.682
APU0000711111,"Apples, Red Delicious, per lb. (453.6 gm)",1.308
APU0000711211,"Bananas, per lb. (453.6 gm)",0.576
APU0000711311,"Oranges, Navel, per lb. (453.6 gm)",1.169
APU0000711411,"Grapefruit, per lb. (453.6 gm)",1.252
APU0000711412,"Lemons, per lb. (453.6 gm)",1.985
APU0000711413,"Pears, Anjou, per lb. (453.6 gm)",1.628
APU0000711415,"Strawberries, dry pint, per 12 oz. (340.2 gm)",3.282
APU0000711417,"Grapes, Thompson Seedless, per lb. (453.6 gm)",2.878
APU0000712112,"Potatoes, white, per lb. (453.6 gm)",0.686
APU0000712211,"Lettuce, iceberg, per lb. (453.6 gm)",1.016
APU0000712311,"Tomatoes, field grown, per lb. (453.6 gm)",1.972
APU0000712406,"Peppers, sweet, per lb. (453.6 gm)",2.199
APU0000712412,"Broccoli, per lb. (453.6 gm)",1.533
APU0000713111,"Orange juice, frozen concentrate, 12 oz. can, per 16 oz. (473.2 ml)",2.571
APU0000714233,"Beans, dried, any type, all sizes, per lb. (453.6 gm)",1.364
APU0000715211,"Sugar, white, all sizes, per lb. (453.6 gm)",0.614
APU0000716116,"Margarine, soft, tubs, per lb. (453.6 gm)",1.782
APU0000716141,"Peanut butter, creamy, all sizes, per lb. (453.6 gm)",2.617
APU0000717311,"Coffee, 100%, ground roast, all sizes, per lb. (453.6 gm)",4.281
APU0000718311,"Potato chips, per 16 oz.",4.353
APU0000FC1101,"All uncooked ground beef, per lb. (453.6 gm)",4.043
APU0000FC2101,"All Uncooked Beef Roasts, per lb. (453.6 gm)",5.159
APU0000FC3101,"All Uncooked Beef Steaks, per lb. (453.6 gm)",7.121
APU0000FC4101,"All Uncooked Other Beef (Excluding Veal), per lb. (453.6 gm)",4.517
APU0000FD2101,"All Ham (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)",2.906
APU0000FD3101,"All Pork Chops, per lb. (453.6 gm)",3.462
APU0000FD4101,"All Other Pork (Excluding Canned Ham and Luncheon Slices), per lb. (453.6 gm)",2.579
APU0000FF1101,"Chicken breast, boneless, per lb. (453.6 gm)",3.2
APU0000FL2101,"Lettuce, romaine, per lb. (453.6 gm)",1.873
