food_name,food_quantity,food_price,date_last_updated
"Flour, all-purpose",lb.,0.503,12/01/16
"Rice, white/long-grain",lb.,0.693,12/01/16
Spaghetti or macaroni,lb.,1.287,12/01/16
"Bread, white",lb.,1.362,12/01/16
"Bread, whole wheat",lb.,1.96,12/01/16
"Cookies, chocolate chip",lb.,3.409,12/01/16
"Ground chuck, 100% beef",lb.,3.619,12/01/16
"Ground beef, 100% beef",lb.,3.559,12/01/16
"Ground beef, lean or extra-lean",lb.,5.542,12/01/16
"Chuck roast, non-USDA Choice",lb.,4.484,12/01/16
"Chuck roast, boneless/USDA Choice",lb.,5.104,12/01/16
"Round roast, boneless/USDA Choice",lb.,4.884,12/01/16
"Steak, round/boneless/USDA Choice",lb.,5.556,12/01/16
"Steak, round/non-USDA Choice",lb.,5.465,12/01/16
"Steak, sirloin/boneless/USDA choice",lb.,7.91,12/01/16
Bacon,lb.,5.102,12/01/16
"Pork Chops, bone-in",lb.,3.633,12/01/16
"Pork Chops, boneless",lb.,3.751,12/01/16
"Ham, boneless",lb.,3.93,12/01/16
"Frankfurters, all-beef",lb.,3.048,12/01/16
"Bologna, all-beef/mixed",lb.,2.625,12/01/16
"Chicken, whole",lb.,1.463,12/01/16
"Chicken legs, bone-in",lb.,1.432,12/01/16
"Turkey, frozen/whole",lb.,1.495,12/01/16
"Tuna, light/chunk",lb.,3.145,12/01/16
"Eggs, grade A",dozen,1.383,12/01/16
"Milk, whole/fortified",gallon,3.29,12/01/16
American processed cheese,lb.,4.214,12/01/16
Cheddar cheese,lb.,4.895,12/01/16
Ice cream,half gallon,4.682,12/01/16
"Apples, red delicious",lb.,1.308,12/01/16
Bananas,lb.,0.576,12/01/16
"Oranges, navel",lb.,1.169,12/01/16
Grapefruit,lb.,1.252,12/01/16
Lemons,lb.,1.985,12/01/16
Pears,lb.,1.628,12/01/16
Strawberries,12 ounces,3.282,12/01/16
Grapes,lb.,2.878,12/01/16
"Potatoes, white",lb.,0.686,12/01/16
"Lettuce, iceberg",lb.,1.016,12/01/16
Tomatoes,lb.,1.972,12/01/16
"Peppers, sweet",lb.,2.199,12/01/16
Broccoli,lb.,1.533,12/01/16
"Orange juice, frozen concentrate",16 ounces,2.571,12/01/16
"Beans, dried",lb.,1.364,12/01/16
"Sugar, white",lb.,0.614,12/01/16
Margarine,lb.,1.782,12/01/16
"Peanut butter, creamy",lb.,2.617,12/01/16
Coffee,lb.,4.281,12/01/16
Potato chips,16 ounces,4.353,12/01/16
Pork - Other (Excluding Canned Ham and Luncheon Slices),lb.,2.579,12/01/16
"Chicken breast, boneless",lb.,3.2,12/01/16
"Lettuce, romaine",lb.,1.873,12/01/16
