,market name,address,city,state,zipcode,phone,double value,latitude,longitude
0,Alton Farmers & Artisans Market,600 Landmarks Blvd,Alton,IL,62002,(618) 463-1016,False,38.8888584,-90.1772953
1,Aurora Farmers Market - Downtown,233 N. Broadway,Aurora,IL,60505,(630) 256-3370,True,41.7613407,-88.30940729999999
2,Aurora Farmers Market - East,701 S. Eola Road,Aurora,IL,60504,,True,41.743204,-88.24875399999999
3,Aurora Farmers Market - West,1901 W. Galena Blvd.,Aurora,IL,60506,,True,41.765598,-88.363541
4,Downtown Bloomington Association Market,200 N. Main Street,Bloomington,IL,61701,(309) 829-9599,False,40.4800081,-88.9941508
5,Buffalo Grove Farmers Market,951 McHenry Road,Buffalo Grove,IL,60089,(309) 829-9599,False,42.1679185,-87.9701907
6,Carbondale Community Farmers Market,1301 E. Walnut St.,Carbondale,IL,62901,(785) 643-1054,False,37.7251256,-89.18738719999999
7,Farmers Market of Carbondale,2101 W. Main St.,Carbondale,IL,62901,(618) 833-2769,False,37.7302767,-89.24348839999999
8,Regional Producer Farmers Market,317 E. Main St.,Carbondale,IL,62901,(618) 308-0792,False,37.7271345,-89.2116617
9,Crump Family Gardens,10396 E. 2100 North Road,Carlock,IL,61725,(309) 376-5281,False,40.5917,-89.07284399999999
10,Cannon Park Community Market,102 N. Greenbriar Rd.,Carterville,IL,62918,(618) 308-0792,False,37.7616337,-89.09570719999999
11,The Land Connection of Champaign/Champaign Farmers Market,310 N. Neil St.,Champaign,IL,61820,(217) 840-2128,False,40.118504,-88.2435589
12,18th Street Farmers Market,825 18th St.,Charleston,IL,61820,(217) 345-4700,False,39.4907144,-88.1622392
13,61st Street Farmers Market - Experimental Station,6100 S. Blackstone Ave.,Chicago,IL,60637,(773) 241-6044,True,41.7841364,-87.5905903
14,Andersonville Farmers Market,1500 W. Berwyn Avenue,Chicago,IL,60640,(773) 728-2995,True,41.9780083,-87.66834329999999
15,Austin Town Hall Farmers Market,W. Lake St. & N. Central Ave.,Chicago,IL,60644,(312) 744-0565,True,41.8841388,-87.7012881
16,Back of the Yards Community Market at The Plant,1400 W. 46th St.,Chicago,IL,60609,(773) 847-5523,True,41.8107477,-87.6606973
17,Bronzeville Community Market,2600 Martin Luther King Dr.,Chicago,IL,60653,,False,41.845534,-87.6176397
18,Chicago Botanic Garden's Green Youth Farm (Lawndale),3750 W. Ogden Street,Chicago,IL,60623,(224) 412-7635,False,41.8534052,-87.719342
19,Chicago Botanic Garden's Green Youth Farm (Washington Park),555 E. 51st Street,Chicago,IL,60623,(224) 412-7635,False,41.8013958,-87.61238639999999
20,Columbus Park Farmers Market,W. Harrison St. & S. Central Ave.,Chicago,IL,60644,(312) 744-0565,True,41.873796,-87.69609059999999
21,Daley Plaza Chicago Farmers Market,50 W. Washington St.,Chicago,IL,60602,(312) 744-0565,True,41.8840845,-87.63018679999999
22,Division Street Chicago Farmers Market,1200 N. Dearborn St.,Chicago,IL,,(312) 744-0565,True,41.9041407,-87.63040579999999
23,Eden Place Farmers Market,43rd St. & S. Wells,Chicago,IL,60609,(773) 624-8686,False,40.7578494,-73.9165934
24,El Conuco Farmers Market in Humboldt Park,2739 W. Division St.,Chicago,IL,60622,,True,41.9026807,-87.6959923
25,Englewood/Anchor House,7600 S. Racine Ave,Chicago,IL,60620,(312) 744-0565,True,41.755499,-87.655121
26,Faith In Place,70 E. Lake Street,Chicago,IL,60601,(312) 733-4640,False,41.8860676,-87.6256982
27,Federal Plaza Chicago Farmers Market,230 S. Dearborn St.,Chicago,IL,60603,(312) 744-0565,True,41.8784454,-87.63
28,Garfield Park Community Council,200 N. Kedzie Ave.,Chicago,IL,60624,(773) 638-1766,True,41.8846868,-87.7062308
29,George Washington Carver Farms Market,10105 S.  Wallace St. ,Chicago,IL,60628,(773) 870-6556,False,41.7103827,-87.6378146
30,George Washington Carver Farms - Altgeld Gardens Market,939 E. 130th Place,Chicago,IL,60827,(773) 870-6556,False,41.65863420000001,-87.5991038
31,Glenwood Sunday Market,1448 W. Morse Avenue,Chicago,IL,60626,(773) 508-5885,True,42.0080398,-87.6676111
32,Glenwood Sunday Market - Indoor,6962 N. Glenwood Ave.,Chicago,IL,60626,,True,42.0084077,-87.6663487
33,Green City Market - Outdoor,1800 N. Clark Street,Chicago,IL,60614,(773) 880-1266,True,41.91490539999999,-87.63425819999999
34,Green City Market - Indoor,2430 N Cannon Drive,Chicago,IL,60614,,True,41.9267847,-87.63518479999999
35,Green City Market - West Loop,115 S. Sangamon St.,Chicago,IL,60607,,True,41.87979929999999,-87.6508049
36,Growing Home Night Market at Kusanya Café,825 W. 69th St.,Chicago,IL,60621,,False,41.7685814,-87.6455659
37,"Growing Power, Iron St. Farmers Market",3333 S. Iron St.,Chicago,IL,60608,(773) 376-8882,False,41.8326802,-87.6598467
38,Healthy Food Hub Farmers' Market,2423 E 75th St.,Chicago,IL,60649,(773) 410-3446,False,41.7588146,-87.5655092
39,Hyde Park Chicago Farmers Market,5300 Harper Court Circle,Chicago,IL,60615,(312) 744-0565,False,41.7995097,-87.5890946
40,Iman Health and Wellness Farmers Market,2744 W. 63rd St.,Chicago,IL,62609,(773) 434-4626,True,41.7793251,-87.6927932
41,Independence Park Farmers Market,3945 N. Springfield Ave.,Chicago,IL,60618,(312) 263-3754,False,41.9529732,-87.7247168
42,LaFollette Park Farmers Market,1333 N. Laramie,Chicago,IL,60651,(312) 744-0565,True,41.90531439999999,-87.7552631
43,Lincoln Square Farmers Market,2301 W. Leland Ave.,Chicago,IL,60625,(312) 744-0565,True,41.9668208,-87.68750010000001
44,Logan Square Farmers Market,3107 W. Logan Boulevard,Chicago,IL,60647,(773) 489-3222,False,41.92795479999999,-87.7052487
45,Logan Square Winter Farmers Market,2755 N. Milwaukee Ave.,Chicago,IL,,,False,41.931372,-87.710594
46,Loyola Farmers Market,6550 N. Sheridan Rd.,Chicago,IL,60626,(773) 508-8255,False,42.0016241,-87.6611571
47,McKinley Park Farmers Market,2210 W. Pershing Road,Chicago,IL,60609,(847) 902-4299,False,41.8237382,-87.6824446
48,Otis Fresh Farmers Market,2616 S. Calumet Ave.,Chicago,IL,60609,(773) 747-1761,False,41.8451568,-87.6190816
49,PCC Austin Community Farm,330 N. Lotus Ave.,Chicago,IL,60644,(708) 524-7685,False,41.886731,-87.762193
50,Pilsen Community Market,1800 S. Halsted Street,Chicago,IL,60608,(305) 283-6747,False,41.8577756,-87.6469073
51,Portage Park Farmers Market,4100 N. Long Ave.,Chicago,IL,60641,(773) 720-5381,False,41.955369,-87.76358929999999
52,Printer Row Farmers Market,700 S. Dearborn St.,Chicago,IL,60620,,True,41.873316,-87.62942000000001
53,Pullman Farmers Market,11141 S. Cottage Grove,Chicago,IL,60628,(312) 744-0565,True,41.69133799999999,-87.6096909
54,Roseland Community Farmers Market,11400 S. Michigan Ave.,Chicago,IL,60628,,False,41.686898,-87.621256
55,Seaway Bank Farmers Market,645 E. 87th St.,Chicago,IL,60619,(773) 487-4800,True,41.7363311,-87.60802059999999
56,South Halsted Farmers Market,79th & South Shore Drive (corner),Chicago,IL,60643,(773) 568-2929,True,41.7508264,-87.6251778
