,index,Unnamed: 0,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,Double Value,Farmers Market?,place_id,googlename,googlelat,googlelon,googleaddress,cost,multiple,how,check,type
0,172,172,SOUTH SIDE MARATHON INC,-87.693428,41.779179,2800 W 63rd St,,Chicago,IL,60629.0,2313.0,COOK,False,False,ChIJvQBtbSsuDogRDm82qHLGtX8,Marathon Gas,41.7793099,-87.69379819999999,"2800 West 63rd Street, Chicago",,1,address first word,0,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
1,199,199,MORSE FOOD AND MEAT MARKET,-87.666962,42.007919,1430 W Morse Ave,,Chicago,IL,60626.0,3480.0,COOK,False,False,ChIJm9QhMa7RD4gRNArLQftoypk,Morse Fresh Market,42.0079887,-87.66709,"1430 West Morse Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
2,216,216,81ST AND RACINE CITGO INC,-87.653679,41.746632,8106 S Racine Ave,,Chicago,IL,60620.0,3013.0,COOK,False,False,ChIJoReg_XkvDogRfQsGVRU_DP8,Sunrise Gyros,41.7466125,-87.6536558,"8106 South Racine Avenue, Chicago",,2,name 1 and address 1 (more than one first) ,Double Check- invalid type,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
3,305,305,21ST Food Market Inc,-87.72489200000003,41.853664,2022 S Pulaski Rd,# 24,Chicago,IL,60623.0,2854.0,COOK,False,False,ChIJmXIpn1kyDogR5agaUzzGzlk,21st Food Mart,41.8536237,-87.7250048,"2024 South Pulaski Road, Chicago",,4,name 1 & 2 (none first),0,"['convenience_store', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
4,458,458,Pershing Center,-87.632385,41.823582,243 W Pershing Rd,,Chicago,IL,60609.0,2845.0,COOK,False,False,ChIJZ0_5LBosDogRM1T4857ghq8,Mobil,41.8234565,-87.6328891,"243 West Pershing Road, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
5,1101,1101,AL BAYAN GROCERY INC,-87.785973,41.937119,3134 N Narragansett Ave,,Chicago,IL,60634.0,4919.0,COOK,False,False,ChIJCwdUAnjLD4gR8lKsRNEaUSw,Bayan Grocery Inc,41.9375911,-87.7861544,"3134 North Narragansett Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
6,1237,1237,M & M GROCERY,-87.654678,41.964558,4533 N Sheridan Rd,,Chicago,IL,60640.0,5618.0,COOK,False,False,ChIJtSaijc3TD4gR70HrAylgKl4,M & M Grocery,41.9646797,-87.65466769999999,"4533 North Sheridan Road, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
7,1495,1495,Walgreens 7515,-87.806259,41.974751,7155 W Foster Pl,,Chicago,IL,60656.0,3614.0,COOK,False,False,ChIJyfEzadfLD4gRXLtmLpOx8fc,Walgreens,41.97453050000001,-87.80637109999999,"7155 West Foster Avenue, Chicago",2.0,3,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
8,1825,1825,Harrison Marathon,-87.744621,41.873142,4751 W Harrison St,,Chicago,IL,60644.0,5124.0,COOK,False,False,ChIJvXxPgRkzDogRdBw30vvfpOM,Marathon Gas,41.872901,-87.7445592,"4751 West Harrison Street, Chicago",,1,address first word,0,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
9,1922,1922,CVS 5795,-87.71311999999998,41.946518,3411 W Addison St,,Chicago,IL,60618.0,4249.0,COOK,False,False,ChIJy104_ZnND4gRVj6wlOCz5xk,CVS,41.9462379,-87.71355059999999,"3411 West Addison Street, Chicago",,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
10,2013,2013,WING CHEONG GROCERY INC,-87.631889,41.85046,2317 S Wentworth Ave,,Chicago,IL,60616.0,2013.0,COOK,False,False,ChIJa-SJdmQsDogRv2ttmB8qrZ4,Wing Cheong Grocery,41.8504677,-87.63183649999999,"2317 South Wentworth Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
11,2283,2283,EASTVIEW INC,-87.668442,42.01600300000001,1501 W Jarvis Ave,,Chicago,IL,60626.0,1908.0,COOK,False,False,ChIJK1z_Wk3QD4gRlBBrB1kbhiU,East View Grocery,42.0158799,-87.66872029999999,"1501 West Jarvis Avenue, Chicago",,1,address first word,0,"['convenience_store', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
12,2461,2461,BALTIMORE FOOD & LIQUOR,-87.547211,41.653236,13322 S Baltimore Ave,,Chicago,IL,60633.0,1425.0,COOK,False,False,ChIJA1LhAq0gDogRdzT8DyoCo9Q,Baltimore Food and Liquors,41.65285799999999,-87.54749500000001,"13322 South Baltimore Avenue, Chicago",,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
13,2656,2656,QUICK MART FOODS INC,-87.632828,41.786449,5924 S Princeton Ave,,Chicago,IL,60621.0,3314.0,COOK,False,False,ChIJyQcxwMQuDogRajsRb2_2llQ,E Z Food Mart,41.7873772,-87.6326184,"256 West 59th Street, Chicago",,1,name second word,Double Check- Address mismatch,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
14,2934,2934,Margarita's Meat Market,-87.558739,41.751789,2709 E 79th St,,Chicago,IL,60649.0,5211.0,COOK,False,False,ChIJDZoG2xQoDogRWJbavHa2mhc,Margarita's Meat Market,41.7516018,-87.5586917,"2709 East 79th Street, Chicago",,1,address first word,0,"['food', 'store', 'point_of_interest', 'establishment']"
15,2947,2947,Aldi 30,-87.704926,41.838482,3030 S Kedzie Ave,,Chicago,IL,60623.0,4713.0,COOK,False,False,ChIJY1vY33IyDogRuQjmD2T3HVk,ALDI,41.83822680000001,-87.7056625,"3030 South Kedzie Avenue, Chicago",1.0,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
16,3090,3090,MUNICIPAL FOODS,-87.691734,41.902935,2559 W Division St,,Chicago,IL,60622.0,2805.0,COOK,False,False,ChIJ8xLauK7SD4gRq7oZkJ-2XC8,Municipal Foods,41.9025977,-87.69174290000001,"2559 West Division Street, Chicago",,1,name 1 and address 1 (more than one first) ,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
17,3303,3303,CITGO GAS STATION & FOOD MART,-87.681763,41.712112,9955 S Western Ave,,Chicago,IL,60643.0,1830.0,COOK,False,False,ChIJ4ZcoIjwlDogR-wM_-klkhKk,Shell,41.712126,-87.681417,"9955 South Western Avenue, Chicago",2.0,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
18,3312,3312,CERMAK PRODUCE,-87.72332800000002,41.798019,5220 S Pulaski Rd,,Chicago,IL,60632.0,4222.0,COOK,False,False,ChIJUXzIKpYxDogRoP2_kUUsRqw,Cermak Produce,41.7977815,-87.72450719999999,"5220 South Pulaski Road, Chicago",,1,name 1 and address 1 (more than one first) ,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
19,3558,3558,AL-AMIN GROCERY,-87.691025,41.997822,6403 N Artesian Ave,,Chicago,IL,60645.0,5301.0,COOK,False,False,ChIJD5RLsd3RD4gRsRCHfETZSRM,Al-Amin Grocery,41.9980932,-87.6909857,"6403 North Artesian Avenue, Chicago",,1,address first word,0,"['food', 'point_of_interest', 'establishment']"
20,3594,3594,LA FIESTA BAKERY INC,-87.72273299999998,41.776131,6424 S Pulaski Rd,,Chicago,IL,60629.0,5134.0,COOK,False,False,ChIJb0zcj0wwDogRe9ftrPA3ruc,La Fiesta Bakery,41.77602570000001,-87.7230404,"6424 South Pulaski Road, Chicago",,1,address first word,0,"['bakery', 'food', 'store', 'point_of_interest', 'establishment']"
21,3620,3620,MARATHON GAS,-87.576065,41.75687,7601 S Jeffery Blvd,,Chicago,IL,60649.0,4015.0,COOK,False,False,ChIJIVCkRF4oDogRg_lxREclo2s,FUEL STAR,41.7568546,-87.5758369,"7601 South Jeffery Avenue, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
22,3639,3639,Walgreens 03321,-87.761742,41.79586,5874 S Archer Ave,,Chicago,IL,60638.0,1645.0,COOK,False,False,ChIJA6IAKzkxDogRhX_56w_c39w,Walgreens,41.7961079,-87.76159899999999,"5874 South Archer Avenue, Chicago",2.0,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
23,3782,3782,7700 CITGO KEDZIE,-87.702538,41.75317,7700 S Kedzie Ave,,Chicago,IL,60652.0,1915.0,COOK,False,False,ChIJe6igURkwDogR6plTJTrWKtU,Citgo,41.7531938,-87.70282809999999,"7700 South Kedzie Avenue, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
24,3822,3822,FRUTERIA ANDREA,-87.71350100000002,41.840611,2800 S Drake Ave,,Chicago,IL,60623.0,4638.0,COOK,False,False,ChIJJe5WmmwyDogReHg8edazqoQ,Zavala Grocery,41.8390611,-87.71200040000001,"2859 South Saint Louis Avenue, Chicago",,1,name first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
25,4052,4052,WEST LAWN FOODS,-87.723007,41.78661,5838 S Pulaski Rd,,Chicago,IL,60629.0,4544.0,COOK,False,False,ChIJOZtPvbAxDogRR1c71e15-FM,West Lawn Market,41.786591,-87.72332,"5838 South Pulaski Road, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
26,4147,4147,CITGO,-87.653648,41.779568,1151 W 63rd St,,Chicago,IL,60621.0,1345.0,COOK,False,False,ChIJi8Wkgv4uDogR1wrHTu4w0Eg,Citgo,41.7794341,-87.6543461,"1151 West 63rd Street, Chicago",,1,address first word,0,"['gas_station', 'car_repair', 'point_of_interest', 'establishment']"
27,4188,4188,Walgreens 07687,-87.711662,41.924717,3320 W Fullerton Ave,,Chicago,IL,60647.0,2514.0,COOK,False,False,ChIJ2yunaG7ND4gRSkpNdsRrMfI,Walgreens,41.92492399999999,-87.71144699999999,"3320 West Fullerton Avenue, Chicago",2.0,1,address first word,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
28,4190,4190,Walgreens 07250,-87.681099,41.706326,2345 W 103rd St,,Chicago,IL,60643.0,2423.0,COOK,False,False,ChIJRW1pPSMlDogRwAsjUQh1fKk,Walgreens,41.7062857,-87.6808492,"2345 West 103rd Street, Chicago",2.0,1,address first word,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
29,4370,4370,GAS PLUS,-87.683807,41.784378,6000 S Western Ave,,Chicago,IL,60636.0,2020.0,COOK,False,False,ChIJd6lJHzEuDogRT47MI2nY1PI,Mobil,41.7843666,-87.6840876,"6000 South Western Avenue, Chicago",,1,address first word,0,"['gas_station', 'point_of_interest', 'establishment']"
30,4518,4518,CVS 5836,-87.596153,41.799522,1228 E 53rd St,,Chicago,IL,60615.0,4008.0,COOK,False,False,ChIJ6bMbw2spDogR6L8EO1dFJCs,CVS,41.7997835,-87.59473369999999,"1228 East 53rd Street, Chicago",,3,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']"
31,5033,5033,ENGLEWOOD GAS INC,-87.629204,41.780056,150 W 63rd St,,Chicago,IL,60621.0,3811.0,COOK,False,False,ChIJY5UXk9kuDogREbqG2W6pK8E,BP,41.780218,-87.62986099999999,"150 West 63rd Street, Chicago",,1,address first word,0,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']"
32,5056,5056,Walgreens 07630,-87.62822,41.900024,933 N State St,,Chicago,IL,60610.0,2842.0,COOK,False,False,ChIJHXstAlLTD4gR7zEcS7iAdP0,Walgreens,41.900211,-87.6280218,"933 North State Street, Chicago",2.0,2,name 1 and address 1 (more than one first) ,0,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']"
33,5090,5090,FARM SUPERMARKET,-87.686684,41.997753,2257 W Devon Ave,,Chicago,IL,60659.0,2042.0,COOK,False,False,ChIJA57P0MLRD4gRpXd2Cky1gxQ,Farm Supermarket,41.9976747,-87.6873092,"2257 West Devon Avenue, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
34,5192,5192,PARKWAY SUPER MARKET INC,-87.615494,41.777775,6435 S King Dr,,Chicago,IL,60637.0,3116.0,COOK,False,False,ChIJcbBUWyopDogRokmLRRQwLiY,Parkway Supermarket,41.7773492,-87.6154054,"6435 South King Drive, Chicago",,1,address first word,0,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']"
35,5466,5466,CARNITAS Y SUPERMERCARDO ELGIGANTE,-87.756271,41.925976,2500 N Laramie Ave,,Chicago,IL,60639.0,2422.0,COOK,False,False,ChIJa18lMe3MD4gRSJ1P6Jal9Mw,Carnitas Y Supermercado El Gigante,41.926131,-87.756686,"2500 North Laramie Avenue, Chicago",,1,address first word,Double Check- invalid type,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
36,5542,5542,DIANA'S FOOD & RESTAURANT,-87.699287,41.899387,1000 N Francisco Ave,,Chicago,IL,60622.0,2749.0,COOK,False,False,ChIJ7ZGfqFXND4gRYI7KFSxZRhA,Diana's Food & Restaurant,41.899385,-87.69945299999999,"1000 North Francisco Avenue, Chicago",1.0,1,name 1 and address 1 (more than one first) ,Double Check- invalid type,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']"
