,Unnamed: 0,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,Double Value,Farmers Market?,place_id,googlename,googlelat,googlelon,googleaddress,check,official_address,phone number,hours,website,url,rating,nearby_price,details_price,Yelp_price,category,type,multiple,how
0,172,SOUTH SIDE MARATHON INC,-87.693428,41.779179,2800 W 63rd St,,Chicago,IL,60629.0,2313.0,COOK,False,False,ChIJvQBtbSsuDogRDm82qHLGtX8,Marathon Gas,41.7793099,-87.69379819999999,"2800 West 63rd Street, Chicago",0,"2800 W 63rd St, Chicago, IL 60629, USA",(773) 434-4909,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",,https://maps.google.com/?cid=9202479609352187662,2.5,,,,gas station,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']",1,address first word
1,199,MORSE FOOD AND MEAT MARKET,-87.666962,42.007919,1430 W Morse Ave,,Chicago,IL,60626.0,3480.0,COOK,False,False,ChIJm9QhMa7RD4gRNArLQftoypk,Morse Fresh Market,42.0079887,-87.66709,"1430 West Morse Avenue, Chicago",0,"1430 W Morse Ave, Chicago, IL 60626, USA",(773) 973-3765,"['Monday: 7:00 AM – 9:00 PM', 'Tuesday: 7:00 AM – 9:00 PM', 'Wednesday: 7:00 AM – 9:00 PM', 'Thursday: 7:00 AM – 9:00 PM', 'Friday: 7:00 AM – 9:00 PM', 'Saturday: 7:00 AM – 9:00 PM', 'Sunday: 7:00 AM – 9:00 PM']",http://www.morsefreshmarket.com/,https://maps.google.com/?cid=11081785261448432180,4.4,,,$,grocery,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1,address first word
2,216,81ST AND RACINE CITGO INC,-87.653679,41.746632,8106 S Racine Ave,,Chicago,IL,60620.0,3013.0,COOK,False,False,ChIJhewI_XkvDogR2vGNXQlajE0,RACINE CITGO,41.7466494,-87.6539146,"8106 South Racine Avenue, Chicago",0,"8106 S Racine Ave, Chicago, IL 60620, USA",,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",http://gas-stations.citgo.com/il/chicago/60620/8106-s-racine-ave,https://maps.google.com/?cid=5587940233930731994,4.0,,,0,gas station,"['gas_station', 'point_of_interest', 'establishment']",2,name 1 and address 1 (more than one first) 
3,305,21ST Food Market Inc,-87.72489200000003,41.853664,2022 S Pulaski Rd,# 24,Chicago,IL,60623.0,2854.0,COOK,False,False,ChIJmXIpn1kyDogR5agaUzzGzlk,21st Food Mart,41.8536237,-87.7250048,"2024 South Pulaski Road, Chicago",0,"2024 S Pulaski Rd, Chicago, IL 60623, USA",(773) 542-9319,,,https://maps.google.com/?cid=6471327676972574949,,,,,convenience store,"['convenience_store', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",2,name 1 & 2 (none first)
4,458,Pershing Center,-87.632385,41.823582,243 W Pershing Rd,,Chicago,IL,60609.0,2845.0,COOK,False,False,ChIJZ0_5LBosDogRM1T4857ghq8,Mobil,41.8234565,-87.6328891,"243 West Pershing Road, Chicago",0,"243 W Pershing Rd, Chicago, IL 60609, USA",(773) 924-3750,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",http://exxonmobilstations.com/20432-pershing_mobil-mobil-chicago,https://maps.google.com/?cid=12648043576819209267,3.6,,,,gas station,"['gas_station', 'point_of_interest', 'establishment']",1,address first word
5,1101,AL BAYAN GROCERY INC,-87.785973,41.937119,3134 N Narragansett Ave,,Chicago,IL,60634.0,4919.0,COOK,False,False,ChIJCwdUAnjLD4gR8lKsRNEaUSw,Bayan Grocery Inc,41.9375911,-87.7861544,"3134 North Narragansett Avenue, Chicago",0,"3134 N Narragansett Ave, Chicago, IL 60634, USA",(773) 622-6593,"['Monday: 8:30 AM – 9:00 PM', 'Tuesday: 8:30 AM – 9:00 PM', 'Wednesday: 8:30 AM – 9:00 PM', 'Thursday: 8:30 AM – 9:00 PM', 'Friday: 8:30 AM – 9:00 PM', 'Saturday: 8:30 AM – 7:00 PM', 'Sunday: 8:30 AM – 7:00 PM']",,https://maps.google.com/?cid=3193363096885023474,4.7,,,,grocery,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1,address first word
6,1237,M & M GROCERY,-87.654678,41.964558,4533 N Sheridan Rd,,Chicago,IL,60640.0,5618.0,COOK,False,False,ChIJtSaijc3TD4gR70HrAylgKl4,M & M Grocery,41.9646797,-87.65466769999999,"4533 North Sheridan Road, Chicago",0,"4533 N Sheridan Rd, Chicago, IL 60640, USA",(773) 878-0228,,,https://maps.google.com/?cid=6785341517862748655,4.0,,,$,grocery,"['grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1,address first word
7,1495,Walgreens 7515,-87.806259,41.974751,7155 W Foster Pl,,Chicago,IL,60656.0,3614.0,COOK,False,False,ChIJyfEzadfLD4gRXLtmLpOx8fc,Walgreens,41.97453050000001,-87.80637109999999,"7155 West Foster Avenue, Chicago",0,"7155 W Foster Ave, Chicago, IL 60656, USA",(773) 631-3927,"['Monday: 7:00 AM – 11:00 PM', 'Tuesday: 7:00 AM – 11:00 PM', 'Wednesday: 7:00 AM – 11:00 PM', 'Thursday: 7:00 AM – 11:00 PM', 'Friday: 7:00 AM – 11:00 PM', 'Saturday: 8:00 AM – 11:00 PM', 'Sunday: 8:00 AM – 11:00 PM']",https://www.walgreens.com/locator/walgreens-7155+w+foster+ave-chicago-il-60656/id=7515,https://maps.google.com/?cid=17866256442452261724,4.2,2.0,2.0,$,convenience store,"['convenience_store', 'health', 'food', 'clothing_store', 'store', 'point_of_interest', 'establishment']",3,name 1 and address 1 (more than one first) 
8,1825,Harrison Marathon,-87.744621,41.873142,4751 W Harrison St,,Chicago,IL,60644.0,5124.0,COOK,False,False,ChIJvXxPgRkzDogRdBw30vvfpOM,Marathon Gas,41.872901,-87.7445592,"4751 West Harrison Street, Chicago",0,"4751 W Harrison St, Chicago, IL 60644, USA",(773) 287-3700,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",http://mymarathonstation.com/StoreHome/131193,https://maps.google.com/?cid=16403482015446801524,3.6,,,,gas station,"['gas_station', 'convenience_store', 'food', 'store', 'point_of_interest', 'establishment']",1,address first word
9,1922,CVS 5795,-87.71311999999998,41.946518,3411 W Addison St,,Chicago,IL,60618.0,4249.0,COOK,False,False,ChIJy104_ZnND4gRVj6wlOCz5xk,CVS,41.9462379,-87.71355059999999,"3411 West Addison Street, Chicago",0,"3411 W Addison St, Chicago, IL 60618, USA",(773) 279-8005,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: 8:00 AM – 10:00 PM', 'Sunday: 8:00 AM – 10:00 PM']",http://www.cvs.com/store-locator/cvs-pharmacy-address/3411+West+Addison+Street-Chicago-IL-60618/storeid=5795?WT.mc_id=LS_GOOGLE_FS_5795,https://maps.google.com/?cid=1866658347716984406,4.0,,,$,convenience store,"['convenience_store', 'health', 'food', 'store', 'point_of_interest', 'establishment']",1,address first word
