,Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,place_id,googlename,googlelat,googlelon,googleaddress,cost
0,Shital Grocery,-87.934921,42.139168,759 W Dundee Rd,,Wheeling,IL,60090,2605.0,COOK ,ChIJi56wdwC8D4gRLndKqR68Gms,Shital Grocery & Video,42.1388805,-87.9351579,"759 West Dundee Road, Wheeling",None
1,THE BUTCHER BLOCK,-91.402412,39.931896,819 Maine St,,Quincy,IL,62301,4014.0,ADAMS ,ChIJR5U_Y6r33YcRPnJXdoRndSQ,Butcher Block,39.93217499999999,-91.402406,"819 Maine Street, Quincy",None
2,ROCHELLE SHELL 363834216,-89.066551,41.934017,505 W Highway 38,,Rochelle,IL,61068,1199.0,OGLE ,ChIJ5881yXEgCYgR8IfoDpHvyf0,Country School of Rochelle,41.93455199999999,-89.06883599999999,"1110 S 7th St, Rochelle",None
3,PONTOON BEACH MOBIL,-90.071609,38.750298,1281 Engineer Rd,,Pontoon Beach,IL,62040,2891.0,MADISON ,ChIJ0dCBubNW34cR0Cm9CrgpCOY,Mobil,38.7506285,-90.07134049999999,"1281 Engineers Road, Pontoon Beach",None
4,OLD TIME MEAT & DELI SHOPPE,-88.245689,40.090903999999995,2018 S Neil St,,Champaign,IL,61820,7220.0,CHAMPAIGN ,ChIJteBcVtXWDIgRJQXqyaMBP0c,Old Time Meat & Deli Shop,40.0919027,-88.245361,"2018 South Neil Street, Champaign",None
5,BLUE ISLAND CITGO,-87.69970699999999,41.662449,3196 Burr Oak Ave,,Blue Island,IL,60406,3936.0,COOK ,ChIJywKQhVQ7DogRSbpl9F8sQPM,Burger King,41.66296949999999,-87.69928639999999,"3196 West 127th Street, Blue Island",1
6,SOUTH SIDE MARATHON INC,-87.693428,41.779179,2800 W 63rd St,,Chicago,IL,60629,2313.0,COOK ,ChIJvQBtbSsuDogRDm82qHLGtX8,Marathon Gas,41.7793099,-87.69379819999999,"2800 West 63rd Street, Chicago",None
7,BUTERA MARKET,-88.31532299999999,41.996204,1175 W Spring St,,South Elgin,IL,60177,1408.0,KANE ,ChIJq7Ge3q8ED4gRVq6Unuf-yfg,Butera Market,41.99545699999999,-88.314127,"1175 West Spring Street, South Elgin",None
8,MORSE FOOD AND MEAT MARKET,-87.666962,42.007919,1430 W Morse Ave,,Chicago,IL,60626,3480.0,COOK ,ChIJm9QhMa7RD4gRNArLQftoypk,Morse Fresh Market,42.0079887,-87.66709,"1430 West Morse Avenue, Chicago",None
9,81ST AND RACINE CITGO INC,-87.653679,41.746632,8106 S Racine Ave,,Chicago,IL,60620,3013.0,COOK ,ChIJhewI_XkvDogR2vGNXQlajE0,RACINE CITGO,41.7466494,-87.6539146,"8106 South Racine Avenue, Chicago",None
